name	term	lev	seq	value
"oxoglutarate dehydrogenase complex"	GO:0045252	2	ENSG00000181192	6.8
"oxoglutarate dehydrogenase complex"	GO:0045252	2	ENSG00000105953	0
"oxoglutarate dehydrogenase complex"	GO:0045252	2	ENSG00000197444	0.5
"oxoglutarate dehydrogenase complex"	GO:0045252	2	ENSG00000091140	0.1
"oxoglutarate dehydrogenase complex"	GO:0045252	2	ENSG00000134056	5.3
"ribbon synapse"	GO:0097470	2	ENSG00000174437	9.9
"ribbon synapse"	GO:0097470	2	ENSG00000166900	0.2
"ribbon synapse"	GO:0097470	2	ENSG00000131697	-0.2
"ribbon synapse"	GO:0097470	2	ENSG00000131437	-4.5
"ribbon synapse"	GO:0097470	2	ENSG00000175029	0.5
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000166411	1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000221988	-0.3
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000179271	0.9
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000124370	-2.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000196636	0.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000050767	0.8
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000167985	2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000150768	3.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000161533	-0.5
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000157399	-0.2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000116863	0.2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000144827	-6.4
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000188157	-0.4
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000168542	-8.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000159445	-2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000091483	1.7
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000168827	-0.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000114251	-0.2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000181523	-1.8
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000038427	-1.7
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000178202	0.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000179163	-0.2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000172053	0
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000090520	0.2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000197249	-0.3
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000080824	-2.2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000106809	-0.7
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000102309	-0.3
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000122884	-1.2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000106246	0.6
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000124172	0.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000196743	2.3
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000100889	-0.5
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000172828	-2.4
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000049860	0
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000149380	0.2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000204099	0.3
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000184956	-0.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000003509	-0.2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000167004	-0.5
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000157227	-0.4
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000248098	0.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000164307	-1.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000023330	-1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000168306	-2.6
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000117475	0.4
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000067704	0.7
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000108179	1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000067992	0.7
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000188266	0
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000144455	-0.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000149124	0.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000102931	0.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000183876	-3.9
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000181192	6.8
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000143374	-0.2
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000113494	1.1
"membrane-enclosed lumen"	GO:0070013;GO:0043233;GO:0031974	3	ENSG00000065485	-0.6
