gene,logP
ENSG00000000003,-1.5
ENSG00000000005,NA
ENSG00000000419,1.4
ENSG00000000457,0.1
ENSG00000000460,-0.2
ENSG00000000938,-0.2
ENSG00000000971,1.1
ENSG00000001036,-1.4
ENSG00000001084,0
ENSG00000001167,-1.7
ENSG00000001460,-0.4
ENSG00000001461,-0.1
ENSG00000001497,0
ENSG00000001561,0.1
ENSG00000001617,-0.8
ENSG00000001626,-1
ENSG00000001629,-1.1
ENSG00000001630,0
ENSG00000001631,-0.1
ENSG00000002016,-1.3
ENSG00000002079,-0.7
ENSG00000002330,0.3
ENSG00000002549,0.5
ENSG00000002586,0.3
ENSG00000002587,-0.1
ENSG00000002726,-0.1
ENSG00000002745,-0.1
ENSG00000002746,0.2
ENSG00000002822,-0.6
ENSG00000002834,4
ENSG00000002919,2.1
ENSG00000002933,0.1
ENSG00000003056,-0.4
ENSG00000003096,-6.1
ENSG00000003137,-1.4
ENSG00000003147,0
ENSG00000003249,-0.5
ENSG00000003393,0.6
ENSG00000003400,-0.5
ENSG00000003402,10
ENSG00000003436,-0.6
ENSG00000003509,-0.2
ENSG00000003756,-1.4
ENSG00000003987,2.6
ENSG00000003989,0.5
ENSG00000004059,3.4
ENSG00000004139,-0.4
ENSG00000004142,0.6
ENSG00000004399,0
ENSG00000004455,0.1
ENSG00000004468,-0.5
ENSG00000004478,-0.2
ENSG00000004487,-3.5
ENSG00000004534,-0.8
ENSG00000004660,-1.2
ENSG00000004700,2.8
ENSG00000004766,-0.1
ENSG00000004776,-0.1
ENSG00000004777,-0.7
ENSG00000004779,0.3
ENSG00000004799,2.1
ENSG00000004809,NA
ENSG00000004838,-0.5
ENSG00000004846,-2.1
ENSG00000004848,NA
ENSG00000004864,0
ENSG00000004866,-3
ENSG00000004897,0.3
ENSG00000004939,NA
ENSG00000004948,NA
ENSG00000004961,-0.5
ENSG00000004975,-1.1
ENSG00000005001,NA
ENSG00000005007,2.4
ENSG00000005020,0.5
ENSG00000005022,-0.1
ENSG00000005059,0.2
ENSG00000005073,-0.2
ENSG00000005075,0.2
ENSG00000005100,2.3
ENSG00000005102,-0.3
ENSG00000005108,0.6
ENSG00000005156,-0.6
ENSG00000005175,-0.4
ENSG00000005187,0
ENSG00000005189,-0.6
ENSG00000005194,0.8
ENSG00000005206,0.3
ENSG00000005238,-0.9
ENSG00000005243,-0.3
ENSG00000005249,2.6
ENSG00000005302,0.6
ENSG00000005339,-0.3
ENSG00000005379,0.5
ENSG00000005381,0
ENSG00000005421,-0.1
ENSG00000005436,0.5
ENSG00000005448,1.3
ENSG00000005469,-0.4
ENSG00000005471,-2.3
ENSG00000005483,0.3
ENSG00000005486,-0.3
ENSG00000005513,-0.6
ENSG00000005700,-0.2
ENSG00000005801,-1.2
ENSG00000005810,-0.1
ENSG00000005812,2.3
ENSG00000005844,-0.6
ENSG00000005882,-0.2
ENSG00000005884,0.7
ENSG00000005889,0.2
ENSG00000005893,0.4
ENSG00000005955,0.5
ENSG00000005961,-0.1
ENSG00000005981,NA
ENSG00000006007,0.7
ENSG00000006015,-0.1
ENSG00000006016,0.2
ENSG00000006025,-3.7
ENSG00000006042,-0.1
ENSG00000006047,-0.4
ENSG00000006059,NA
ENSG00000006062,-1.8
ENSG00000006071,NA
ENSG00000006074,0.1
ENSG00000006075,NA
ENSG00000006114,-6.3
ENSG00000006116,NA
ENSG00000006118,-2
ENSG00000006125,0.2
ENSG00000006128,0.3
ENSG00000006194,0.4
ENSG00000006210,1
ENSG00000006282,-0.3
ENSG00000006283,-1.9
ENSG00000006327,-0.2
ENSG00000006377,NA
ENSG00000006432,-0.1
ENSG00000006451,-2.6
ENSG00000006453,-0.6
ENSG00000006459,0
ENSG00000006468,-0.4
ENSG00000006530,0
ENSG00000006534,0.9
ENSG00000006555,NA
ENSG00000006576,-1.5
ENSG00000006606,0
ENSG00000006607,3.2
ENSG00000006611,NA
ENSG00000006625,-0.3
ENSG00000006634,-1.4
ENSG00000006638,-1.9
ENSG00000006652,-0.1
ENSG00000006659,NA
ENSG00000006695,0.7
ENSG00000006704,-0.5
ENSG00000006712,-1
ENSG00000006715,-0.2
ENSG00000006740,0
ENSG00000006744,0.9
ENSG00000006747,0
ENSG00000006756,0
ENSG00000006757,0
ENSG00000006788,2.3
ENSG00000006831,2.5
ENSG00000006837,-1
ENSG00000007001,-0.5
ENSG00000007038,0
ENSG00000007047,0.5
ENSG00000007062,-0.1
ENSG00000007080,0.9
ENSG00000007129,NA
ENSG00000007168,1
ENSG00000007171,-0.1
ENSG00000007174,-0.2
ENSG00000007202,0
ENSG00000007216,NA
ENSG00000007237,NA
ENSG00000007255,0.7
ENSG00000007264,0.1
ENSG00000007306,NA
ENSG00000007312,0.2
ENSG00000007314,-0.1
ENSG00000007341,0.3
ENSG00000007350,NA
ENSG00000007372,0.4
ENSG00000007376,0.3
ENSG00000007384,0.2
ENSG00000007392,-1.2
ENSG00000007402,0.5
ENSG00000007516,0.3
ENSG00000007520,0.4
ENSG00000007541,0.6
ENSG00000007545,0.4
ENSG00000007866,3.6
ENSG00000007908,NA
ENSG00000007923,0.1
ENSG00000007933,0.1
ENSG00000007944,-3.2
ENSG00000007952,0.6
ENSG00000007968,0.7
ENSG00000008018,0.2
ENSG00000008056,1
ENSG00000008083,2.9
ENSG00000008086,-0.4
ENSG00000008118,-0.1
ENSG00000008128,-0.2
ENSG00000008130,7.3
ENSG00000008196,0
ENSG00000008197,NA
ENSG00000008226,0
