,log2FoldChange
ENSG00000000003,-0.36076053670782
ENSG00000000005,NA
ENSG00000000419,0.200371213185483
ENSG00000000457,0.0331585791385957
ENSG00000000460,-0.101694027827424
ENSG00000000938,-0.0898037496552436
ENSG00000000971,0.396466418051394
ENSG00000001036,-0.236278654241958
ENSG00000001084,-0.0271816806495985
ENSG00000001167,-0.455763574564196
ENSG00000001460,-0.127589429651645
ENSG00000001461,-0.0374285636841648
ENSG00000001497,-0.00244128320674157
ENSG00000001561,0.119644969581528
ENSG00000001617,-0.235978459267486
ENSG00000001626,-0.633317181851725
ENSG00000001629,-0.219868335262406
ENSG00000001630,0.0106601750591673
ENSG00000001631,-0.0356810220602961
ENSG00000002016,-0.29573765728779
ENSG00000002079,-0.394661049058013
ENSG00000002330,0.086939132967661
ENSG00000002549,0.172044960602595
ENSG00000002586,0.0859876738554895
ENSG00000002587,-0.0564564080384472
ENSG00000002726,-0.0246919163448522
ENSG00000002745,-0.109264275852398
ENSG00000002746,0.0981278854092781
ENSG00000002822,-0.153034228050148
ENSG00000002834,0.391709166407265
ENSG00000002919,0.377748360985894
ENSG00000002933,0.0915612034281585
ENSG00000003056,-0.0703826054416941
ENSG00000003096,-0.869278871762817
ENSG00000003137,-0.760425162906597
ENSG00000003147,-0.00105859638114975
ENSG00000003249,-0.274610277536969
ENSG00000003393,0.166284244550439
ENSG00000003400,-0.315812353643701
ENSG00000003402,1.13271780127552
ENSG00000003436,-0.197098282268746
ENSG00000003509,-0.0514356445274508
ENSG00000003756,-0.183484355009095
ENSG00000003987,0.838877373484401
ENSG00000003989,0.384911512765862
ENSG00000004059,0.362633151010182
ENSG00000004139,-0.155190318641901
ENSG00000004142,0.143346287739451
ENSG00000004399,-0.0117835147889442
ENSG00000004455,0.0493357862134953
ENSG00000004468,-0.30794257116371
ENSG00000004478,-0.0682066762909534
ENSG00000004487,-0.29550391350912
ENSG00000004534,-0.186076154448011
ENSG00000004660,-0.547492131454152
ENSG00000004700,0.358506789071952
ENSG00000004766,-0.0299657953762013
ENSG00000004776,-0.0668596340777545
ENSG00000004777,-0.337161749199342
ENSG00000004779,0.0932121925845267
ENSG00000004799,1.02512580876207
ENSG00000004809,NA
ENSG00000004838,-0.322035280933496
ENSG00000004846,-1.02512633081439
ENSG00000004848,NA
ENSG00000004864,0.00628242322688507
ENSG00000004866,-0.552839807423401
ENSG00000004897,0.0537742973245935
ENSG00000004939,NA
ENSG00000004948,NA
ENSG00000004961,-0.1488035105798
ENSG00000004975,-0.298735436314163
ENSG00000005001,NA
ENSG00000005007,0.238691612899643
ENSG00000005020,0.202177062911436
ENSG00000005022,-0.0359721855027388
ENSG00000005059,0.0977482024653765
ENSG00000005073,-0.124883472286111
ENSG00000005075,0.0593538254397079
ENSG00000005100,0.360640553166877
ENSG00000005102,-0.125776562384674
ENSG00000005108,0.397660528931865
ENSG00000005156,-0.300179031364697
ENSG00000005175,-0.205133148473441
ENSG00000005187,-0.0141024551799718
ENSG00000005189,-0.292212048850435
ENSG00000005194,0.157964904910342
ENSG00000005206,0.0686034910103733
ENSG00000005238,-0.180266506525275
ENSG00000005243,-0.0927577462832614
ENSG00000005249,0.600210111100009
ENSG00000005302,0.150400637190282
ENSG00000005339,-0.0895711574462873
ENSG00000005379,0.225615248108413
ENSG00000005381,-0.000264058343721081
ENSG00000005421,-0.0246919163448523
ENSG00000005436,0.144635401238494
ENSG00000005448,0.297366833769587
ENSG00000005469,-0.221775259821903
ENSG00000005471,-0.924703492816972
ENSG00000005483,0.0829822022398557
ENSG00000005486,-0.100796401604433
ENSG00000005513,-0.437144225472256
ENSG00000005700,-0.0501562280563215
ENSG00000005801,-0.295991823228923
ENSG00000005810,-0.0208035643559917
ENSG00000005812,0.452546814658439
ENSG00000005844,-0.305066507218336
ENSG00000005882,-0.0594684583841444
ENSG00000005884,0.334101505329909
ENSG00000005889,0.0811745721187603
ENSG00000005893,0.0675846636226698
ENSG00000005955,0.103403557208692
ENSG00000005961,-0.134532080140169
ENSG00000005981,NA
ENSG00000006007,0.162805205196979
ENSG00000006015,-0.0487368446126243
ENSG00000006016,0.156392099113968
ENSG00000006025,-0.840884777944274
ENSG00000006042,-0.0282842586807563
ENSG00000006047,-0.234859837476294
ENSG00000006059,NA
ENSG00000006062,-0.570234337896932
ENSG00000006071,NA
ENSG00000006074,0.0411875243432992
