"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-2622 0.0163336108155295 4 9 "GO:0000109" "nucleotide-excision repair complex" 0.117662492726685
-395 0.351363116161411 5 60 "GO:0000118" "histone deacetylase complex" 0.657990958934806
528 0.718665353335597 4 5 "GO:0000120" "RNA polymerase I transcription factor complex" 0.885194105015984
193 0.570911129699641 4 93 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.818669852723661
-946 0.414166134636835 2 8 "GO:0000124" "SAGA complex" 0.709738442175017
-461 0.690589111384817 2 8 "GO:0000127;GO:0090576" "RNA polymerase III transcription factor complex" 0.8737720597295
-1913 0.152451959708391 2 6 "GO:0000137" "Golgi cis cisterna" 0.410407005720167
-1070 0.165928338826127 2 18 "GO:0000145" "exocyst" 0.423253270841727
774 0.000108231185963913 3 275 "GO:0000151" "ubiquitin ligase complex" 0.00311866158073794
656 0.200418860321881 4 41 "GO:0000152" "nuclear ubiquitin ligase complex" 0.461319151865158
1667 0.0568574470687079 2 14 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.247123429158965
1422 0.0523104460559233 2 20 "GO:0000159" "protein phosphatase type 2A complex" 0.234690765803396
2117 0.0524484421169897 2 9 "GO:0000164" "protein phosphatase type 1 complex" 0.234690765803396
661 0.434887547405548 2 15 "GO:0000176" "nuclear exosome (RNase complex)" 0.728150045410347
683 0.419337855377097 3 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.71544923570917
741 0.300133870645338 2 21 "GO:0000178" "exosome (RNase complex)" 0.606504289252138
2730 0.0411441301958143 3 6 "GO:0000220" "vacuolar proton-transporting V-type ATPase, V0 domain" 0.201920556109869
-528 0.175215061093158 4 71 "GO:0000228" "nuclear chromosome" 0.433342546087157
-1773 0.018330860447559 2 19 "GO:0000242" "pericentriolar material" 0.128481166019828
377 0.760800260711184 3 7 "GO:0000243" "commitment complex" 0.900138561376975
989 0.424316097855896 2 7 "GO:0000276" "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 0.721402036544416
443 0.490923951601496 2 26 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.76848860029369
-506 0.592892484221236 4 12 "GO:0000346" "transcription export complex" 0.825175585942291
2540 0.000727866483983807 2 19 "GO:0000407" "pre-autophagosomal structure" 0.014157003113485
2151 0.00164779626835109 4 23 "GO:0000421" "autophagic vacuole membrane" 0.0272762871654712
1518 0.189745840826783 4 8 "GO:0000439" "core TFIIH complex" 0.4459887134841
-60 0.964480964937055 4 6 "GO:0000445;GO:0000347" "THO complex" 0.987810987777388
1024 0.0147962676472896 2 61 "GO:0000502" "proteasome complex" 0.111404511691879
3004 0.0246388748518004 2 6 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.157405758067152
-777 0.0582530878364555 2 64 "GO:0000775" "chromosome, centromeric region" 0.251782790759791
131 0.669099753979075 2 116 "GO:0000776" "kinetochore" 0.861616549164153
283 0.430436346889893 3 84 "GO:0000777" "condensed chromosome kinetochore" 0.725987763219543
-1434 0.0899911647310922 3 15 "GO:0000779" "condensed chromosome, centromeric region" 0.32324087435621
-2234 0.0310085138005785 2 10 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.174627617165496
-417 0.144434388294377 2 133 "GO:0000784;GO:0000781" "chromosome, telomeric region" 0.401321264617947
-497 0.00831811382101863 2 311 "GO:0000785" "chromatin" 0.0761352065029705
-714 0.0977279338473812 4 58 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.330450683943921
-1258 0.0941614696249777 2 19 "GO:0000788" "nuclear nucleosome" 0.32626434087643
-425 0.0702249673431286 3 198 "GO:0000790" "nuclear chromatin" 0.273768414913438
-493 0.410148067997383 2 30 "GO:0000791;GO:0005719" "euchromatin" 0.708509882985517
-904 0.0301335969037798 5 62 "GO:0000792" "heterochromatin" 0.171123637891538
-31 0.941200450327234 3 60 "GO:0000793" "condensed chromosome" 0.981722117147066
173 0.745320671232035 2 38 "GO:0000794" "condensed nuclear chromosome" 0.892630206541924
-233 0.739075652489555 2 22 "GO:0000795" "synaptonemal complex" 0.891468727163226
-1540 0.249393244895319 2 6 "GO:0000796" "condensin complex" 0.530844022522552
-993 0.314574505693846 2 11 "GO:0000800" "lateral element" 0.616470945667033
46 0.975038391571426 5 5 "GO:0000801" "central element" 0.987810987777388
-550 0.476366975995286 3 18 "GO:0000803" "sex chromosome" 0.761013362062284
-825 0.573100978450056 4 5 "GO:0000805" "X chromosome" 0.818669852723661
-1352 0.21563336709443 2 9 "GO:0000812" "Swr1 complex" 0.482076895400766
860 0.431055941648835 2 9 "GO:0000813" "ESCRT I complex" 0.725987763219543
1171 0.258378713597463 2 10 "GO:0000815" "ESCRT III complex" 0.546246302116376
2118 0.113099674141404 2 6 "GO:0000836;GO:0000835" "ER ubiquitin ligase complex" 0.35480462291134
-228 0.483660199710096 2 102 "GO:0000922" "spindle pole" 0.767933949743785
169 0.908244436591208 2 5 "GO:0000923" "equatorial microtubule organizing center" 0.969754220648468
-856 0.296148085555969 3 16 "GO:0000930" "gamma-tubulin complex" 0.601574962304292
-17 0.966033081165216 2 71 "GO:0000932" "cytoplasmic mRNA processing body" 0.987810987777388
-1247 0.187117579404467 2 12 "GO:0000940" "condensed chromosome outer kinetochore" 0.444853001963035
-28 0.97511418844863 2 13 "GO:0000974" "Prp19 complex" 0.987810987777388
-1078 0.218381897580533 7 14 "GO:0001518;GO:0034706" "sodium channel complex" 0.486822682858609
647 0.600938404826446 4 7 "GO:0001520" "outer dense fiber" 0.826024874478754
-1300 0.188092124640563 2 11 "GO:0001527;GO:0043205" "fibril" 0.444853001963035
-698 0.379453339904871 2 17 "GO:0001533" "cornified envelope" 0.677097932215573
-720 0.590410316650621 5 6 "GO:0001650" "fibrillar center" 0.825175585942291
-673 0.0934959368646974 5 67 "GO:0001669" "acrosomal vesicle" 0.32626434087643
-194 0.830879145810938 2 13 "GO:0001673;GO:0043073" "germ cell nucleus" 0.934542452750213
952 0.023484228152342 3 61 "GO:0001725;GO:0032432;GO:0042641" "actomyosin" 0.153535542038001
886 0.0119577066363229 3 87 "GO:0001726" "ruffle" 0.0939706642733254
-2191 0.134661812084937 3 5 "GO:0001739" "sex chromatin" 0.392385355063974
-1396 0.139796510419923 6 12 "GO:0001741" "XY body" 0.395465638130938
141 0.761299708722429 2 50 "GO:0001750" "photoreceptor outer segment" 0.900138561376975
788 0.180813660365308 2 31 "GO:0001772" "immunological synapse" 0.436872757031707
928 0.257104589000838 2 16 "GO:0001891" "phagocytic cup" 0.545033706383248
-909 0.105986900443815 3 34 "GO:0001917" "photoreceptor inner segment" 0.348248280339187
890 0.367322628593518 3 11 "GO:0001931" "uropod" 0.668516196879526
743 0.54810467239987 4 7 "GO:0001939" "female pronucleus" 0.814120807610914
-439 0.764604585228083 6 5 "GO:0001940" "male pronucleus" 0.901400354071411
45 0.955847009794036 5 16 "GO:0002080" "acrosomal membrane" 0.985884423047216
1095 0.117155781971871 3 22 "GO:0002102" "podosome" 0.360265606221801
-182 0.860766726505612 2 10 "GO:0002116" "semaphorin receptor complex" 0.951237843279156
-843 0.564989599805126 2 5 "GO:0002177" "manchette" 0.818669852723661
263 0.790328420213429 3 11 "GO:0002178" "palmitoyltransferase complex" 0.915493604551846
2251 0.0297653700494679 3 10 "GO:0002199;GO:0005832" "chaperonin-containing T-complex" 0.171123637891538
-430 4.71075003734792e-05 1 1058 "GO:0005576" "extracellular region" 0.00166589251320758
1488 0.309646816690655 2 5 "GO:0005577" "fibrinogen complex" 0.611447482984748
-694 0.00111270144176879 2 242 "GO:0005578" "proteinaceous extracellular matrix" 0.0201321330627004
2246 0.125158734214513 2 5 "GO:0005579" "membrane attack complex" 0.370241426687799
-846 0.0256929036546879 2 75 "GO:0005581" "collagen trimer" 0.159912632346777
-1395 0.124620402279539 3 13 "GO:0005583" "fibrillar collagen trimer" 0.370241426687799
2367 0.0557967129700434 2 7 "GO:0005587;GO:0098642" "network-forming collagen trimer" 0.243875520734235
-4560 0.000646648748004322 4 6 "GO:0005593" "FACIT collagen trimer" 0.0132392822617727
-10 0.978249243081346 2 80 "GO:0005604" "basement membrane" 0.989698193910646
-276 0.752675426617862 2 14 "GO:0005605" "basal lamina" 0.896176592288409
-233 0.81351725653012 3 11 "GO:0005614" "interstitial matrix" 0.93075944938299
-299 0.00606744693305664 2 987 "GO:0005615" "extracellular space" 0.0629396495189075
-274 0.0676025459115198 2 499 "GO:0005622" "intracellular" 0.270471328759583
1261 0.0650663906626525 1 23 "GO:0005623" "cell" 0.26783942823039
