"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1755 0.193559852282903 2 7 "GO:0000014" "single-stranded DNA endodeoxyribonuclease activity" 0.617119920236933
2488 0.000647158480797574 3 24 "GO:0000030" "mannosyltransferase activity" 0.0520241047728146
-999 0.0506862601773198 2 49 "GO:0000049" "tRNA binding" 0.37164025756437
698 0.284775627991891 2 30 "GO:0000062" "fatty-acyl-CoA binding" 0.68236275797198
129 0.935790165196261 5 5 "GO:0000064" "L-ornithine transmembrane transporter activity" 0.981331771792165
-1238 0.359181917651583 5 7 "GO:0000099" "sulfur amino acid transmembrane transporter activity" 0.741038038012152
1803 0.0322264589124908 2 18 "GO:0000146" "microfilament motor activity" 0.328307050171
126 0.713422087215459 3 110 "GO:0000149" "SNARE binding" 0.912061178165645
-681 0.589542804909549 2 8 "GO:0000150" "recombinase activity" 0.862591631277377
-1903 0.158511363652781 3 7 "GO:0000155;GO:0004673" "protein histidine kinase activity" 0.573173678917031
1092 0.0890698124869101 2 31 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.47301702660418
1961 0.120395835327459 6 8 "GO:0000182" "rDNA binding" 0.527895844046774
-379 0.635535423572607 6 20 "GO:0000217" "DNA secondary structure binding" 0.883837530940361
-265 0.868444370163886 3 5 "GO:0000268" "peroxisome targeting sequence binding" 0.958614108897941
237 0.370523143332556 5 184 "GO:0000287" "magnesium ion binding" 0.744953329840531
1244 0.356717667413987 7 7 "GO:0000295;GO:0005346;GO:0015216" "purine nucleotide transmembrane transporter activity" 0.73952279540197
344 0.738633525960987 2 12 "GO:0000339" "RNA cap binding" 0.922048796880163
1809 0.257290207516479 2 5 "GO:0000386" "second spliceosomal transesterification activity" 0.670823032198554
18 0.985298905935005 2 14 "GO:0000400" "four-way junction DNA binding" 0.995650165739403
-2420 0.0968944216638295 7 6 "GO:0000405" "bubble DNA binding" 0.491224338797304
689 0.541740807160139 3 10 "GO:0000774" "adenyl-nucleotide exchange factor activity" 0.848055237139041
-297 0.79231107637878 4 10 "GO:0000900" "translation repressor activity, nucleic acid binding" 0.940959602548205
-817 9.38091863054429e-08 2 570 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 2.03878631570496e-05
